word,sentiment,lexicon,score
anarchist,fear,nrc,NA
anarchist,negative,nrc,NA
anarchy,anger,nrc,NA
anarchy,fear,nrc,NA
anarchy,negative,nrc,NA
anathema,anger,nrc,NA
anathema,disgust,nrc,NA
anathema,fear,nrc,NA
anathema,negative,nrc,NA
anathema,sadness,nrc,NA
ancestral,trust,nrc,NA
anchor,positive,nrc,NA
anchorage,positive,nrc,NA
anchorage,sadness,nrc,NA
ancient,negative,nrc,NA
angel,anticipation,nrc,NA
angel,joy,nrc,NA
angel,positive,nrc,NA
angel,surprise,nrc,NA
angel,trust,nrc,NA
angelic,joy,nrc,NA
angelic,positive,nrc,NA
angelic,trust,nrc,NA
anger,anger,nrc,NA
anger,negative,nrc,NA
angina,fear,nrc,NA
angina,negative,nrc,NA
angling,anticipation,nrc,NA
angling,negative,nrc,NA
angry,anger,nrc,NA
angry,disgust,nrc,NA
angry,negative,nrc,NA
anguish,anger,nrc,NA
anguish,fear,nrc,NA
anguish,negative,nrc,NA
anguish,sadness,nrc,NA
animate,positive,nrc,NA
animated,joy,nrc,NA
animated,positive,nrc,NA
animosity,anger,nrc,NA
animosity,disgust,nrc,NA
animosity,fear,nrc,NA
animosity,negative,nrc,NA
animosity,sadness,nrc,NA
animus,anger,nrc,NA
animus,negative,nrc,NA
annihilate,anger,nrc,NA
annihilate,fear,nrc,NA
annihilate,negative,nrc,NA
annihilated,anger,nrc,NA
annihilated,fear,nrc,NA
annihilated,negative,nrc,NA
annihilated,sadness,nrc,NA
annihilation,anger,nrc,NA
annihilation,fear,nrc,NA
annihilation,negative,nrc,NA
annihilation,sadness,nrc,NA
announcement,anticipation,nrc,NA
annoy,anger,nrc,NA
annoy,disgust,nrc,NA
annoy,negative,nrc,NA
annoyance,anger,nrc,NA
annoyance,disgust,nrc,NA
annoyance,negative,nrc,NA
annoying,anger,nrc,NA
annoying,negative,nrc,NA
annul,negative,nrc,NA
annulment,negative,nrc,NA
annulment,sadness,nrc,NA
anomaly,fear,nrc,NA
anomaly,negative,nrc,NA
anomaly,surprise,nrc,NA
anonymous,negative,nrc,NA
answerable,trust,nrc,NA
antagonism,anger,nrc,NA
antagonism,negative,nrc,NA
antagonist,anger,nrc,NA
antagonist,negative,nrc,NA
antagonistic,anger,nrc,NA
antagonistic,disgust,nrc,NA
antagonistic,negative,nrc,NA
anthrax,disgust,nrc,NA
anthrax,fear,nrc,NA
anthrax,negative,nrc,NA
anthrax,sadness,nrc,NA
antibiotics,positive,nrc,NA
antichrist,anger,nrc,NA
antichrist,disgust,nrc,NA
antichrist,fear,nrc,NA
antichrist,negative,nrc,NA
anticipation,anticipation,nrc,NA
anticipatory,anticipation,nrc,NA
antidote,anticipation,nrc,NA
antidote,positive,nrc,NA
antidote,trust,nrc,NA
antifungal,positive,nrc,NA
antifungal,trust,nrc,NA
antipathy,anger,nrc,NA
antipathy,disgust,nrc,NA
antipathy,negative,nrc,NA
antiquated,negative,nrc,NA
antique,positive,nrc,NA
antiseptic,positive,nrc,NA
antiseptic,trust,nrc,NA
antisocial,anger,nrc,NA
antisocial,disgust,nrc,NA
antisocial,fear,nrc,NA
antisocial,negative,nrc,NA
antisocial,sadness,nrc,NA
antithesis,anger,nrc,NA
antithesis,negative,nrc,NA
anxiety,anger,nrc,NA
anxiety,anticipation,nrc,NA
anxiety,fear,nrc,NA
anxiety,negative,nrc,NA
anxiety,sadness,nrc,NA
anxious,anticipation,nrc,NA
anxious,fear,nrc,NA
